kode_produk,nama,harga,deskripsi
P0000106,Pulsa Axis kuota 2 GB,7000,Pulsa Axis kuota 2 GB 
P0000107,Pulsa Telkomsel paket nelpon puas,12000,Pulsa Telkomsel paket nelpon puas 
P0000108,Pulsa Simpati kuota 5 GB,27000,Pulsa Simpati kuota 5 GB 
P0000109,Pulsa Bolt paket nelpon puas,52000,Pulsa Bolt paket nelpon puas 
P0000110,Pulsa Bolt paket SMS sesama,102000,Pulsa Bolt paket SMS sesama bonus kuota 2 GB 24 jam
P0000111,Pulsa Axis ,152000,Pulsa Axis  bonus kuota 4 GB malam
P0000112,Pulsa Three paket nelpon puas,202000,Pulsa Three paket nelpon puas 
P0000113,Pulsa Smart Fren ,7000,Pulsa Smart Fren  
P0000114,Pulsa IM3 ,12000,Pulsa IM3  
P0000115,Pulsa Mentari ,27000,Pulsa Mentari  
P0000116,Pulsa IM3 ,52000,Pulsa IM3  
P0000117,Pulsa Telkomsel ,102000,Pulsa Telkomsel  
P0000118,Pulsa IM3 ,152000,Pulsa IM3  
P0000119,Pulsa Telkomsel kuota 2 GB,202000,Pulsa Telkomsel kuota 2 GB 
P0000120,Pulsa Telkomsel ,7000,Pulsa Telkomsel  
P0000121,Pulsa Bolt ,12000,Pulsa Bolt  bonus kuota 3 GB
P0000122,Pulsa Telkomsel paket WiFi,27000,Pulsa Telkomsel paket WiFi 
P0000123,Pulsa Smart Fren ,52000,Pulsa Smart Fren  
P0000124,Pulsa Telkomsel kuota 2 GB,102000,Pulsa Telkomsel kuota 2 GB bonus kuota 4 GB malam
P0000125,Pulsa Smart Fren ,152000,Pulsa Smart Fren  
P0000126,Pulsa Simpati kuota 2 GB,202000,Pulsa Simpati kuota 2 GB 
P0000127,Pulsa Bolt ,7000,Pulsa Bolt  
P0000128,Pulsa Smart Fren paket SMS puas,12000,Pulsa Smart Fren paket SMS puas 
P0000129,Pulsa IM3 paket WiFi,27000,Pulsa IM3 paket WiFi bonus kuota 4 GB malam
P0000130,Pulsa Mentari ,52000,Pulsa Mentari  bonus kuota 2 GB 24 jam
P0000131,Pulsa Three kuota 5 GB,102000,Pulsa Three kuota 5 GB 
P0000132,Pulsa IM3 ,152000,Pulsa IM3  
P0000133,Pulsa Mentari ,202000,Pulsa Mentari  bonus nelpon 200 menit
P0000134,Pulsa Telkomsel kuota 3 GB,7000,Pulsa Telkomsel kuota 3 GB 
P0000135,Pulsa Three kuota 2 GB,12000,Pulsa Three kuota 2 GB 
P0000136,Pulsa Axis ,27000,Pulsa Axis  
P0000137,Pulsa Bolt kuota 1 GB,52000,Pulsa Bolt kuota 1 GB 
P0000138,Pulsa Axis ,102000,Pulsa Axis  
P0000139,Pulsa Bolt ,152000,Pulsa Bolt  
P0000140,Pulsa Three ,202000,Pulsa Three  
P0000141,Pulsa Simpati ,7000,Pulsa Simpati  
P0000142,Pulsa Mentari ,12000,Pulsa Mentari  
P0000143,Pulsa Smart Fren ,27000,Pulsa Smart Fren  
P0000144,Pulsa IM3 ,52000,Pulsa IM3  
P0000145,Pulsa Axis ,102000,Pulsa Axis  
P0000146,Pulsa Axis ,152000,Pulsa Axis  
P0000147,Pulsa Mentari ,202000,Pulsa Mentari  
P0000148,Pulsa Bolt paket SMS puas,7000,Pulsa Bolt paket SMS puas 
P0000149,Pulsa IM3 ,12000,Pulsa IM3  
P0000150,Pulsa Axis ,27000,Pulsa Axis  
P0000151,Pulsa Telkomsel paket SMS sesama,52000,Pulsa Telkomsel paket SMS sesama 
P0000152,Pulsa Telkomsel kuota 5 GB,102000,Pulsa Telkomsel kuota 5 GB 
P0000153,Pulsa Axis ,152000,Pulsa Axis  
P0000154,Pulsa Mentari paket WiFi,202000,Pulsa Mentari paket WiFi bonus nelpon 200 menit
P0000155,Pulsa Three ,7000,Pulsa Three  
P0000156,Pulsa Simpati ,12000,Pulsa Simpati  bonus kuota 4 GB malam
P0000157,Pulsa Simpati ,27000,Pulsa Simpati  
P0000158,Pulsa Smart Fren ,52000,Pulsa Smart Fren  
P0000159,Pulsa IM3 ,102000,Pulsa IM3  bonus kuota 3 GB
P0000160,Pulsa Simpati ,152000,Pulsa Simpati  
P0000161,Pulsa Three paket nelpon sesama,202000,Pulsa Three paket nelpon sesama 
P0000162,Pulsa Telkomsel ,7000,Pulsa Telkomsel  bonus kuota 4 GB malam
P0000163,Pulsa Axis ,12000,Pulsa Axis  
P0000164,Pulsa Bolt paket nelpon puas,27000,Pulsa Bolt paket nelpon puas bonus kuota 3 GB
P0000165,Pulsa Axis kuota 3 GB,52000,Pulsa Axis kuota 3 GB bonus kuota 2 GB 24 jam
P0000166,Pulsa Bolt paket SMS sesama,102000,Pulsa Bolt paket SMS sesama bonus kuota 4 GB malam
P0000167,Pulsa Smart Fren ,152000,Pulsa Smart Fren  
P0000168,Pulsa Axis paket SMS sesama,202000,Pulsa Axis paket SMS sesama bonus kuota 2 GB 24 jam
P0000169,Pulsa Telkomsel kuota 1 GB malam,7000,Pulsa Telkomsel kuota 1 GB malam 
P0000170,Pulsa Mentari ,12000,Pulsa Mentari  
P0000171,Pulsa Simpati kuota 3 GB,27000,Pulsa Simpati kuota 3 GB 
P0000172,Pulsa Axis ,52000,Pulsa Axis  
P0000173,Pulsa Smart Fren ,102000,Pulsa Smart Fren  bonus kuota 3 GB
P0000174,Pulsa Telkomsel ,152000,Pulsa Telkomsel  
P0000175,Pulsa Mentari paket nelpon sesama,202000,Pulsa Mentari paket nelpon sesama 
P0000176,Pulsa Simpati ,7000,Pulsa Simpati  
P0000177,Pulsa Telkomsel paket nelpon sesama,12000,Pulsa Telkomsel paket nelpon sesama 
P0000178,Pulsa Bolt ,27000,Pulsa Bolt  
P0000179,Pulsa Telkomsel ,52000,Pulsa Telkomsel  
P0000180,Pulsa Telkomsel ,102000,Pulsa Telkomsel  
P0000181,Pulsa Telkomsel paket SMS puas,152000,Pulsa Telkomsel paket SMS puas bonus kuota 3 GB
P0000182,Pulsa Telkomsel kuota 12 GB malam,202000,Pulsa Telkomsel kuota 12 GB malam 
P0000183,Pulsa Simpati paket nelpon puas,7000,Pulsa Simpati paket nelpon puas 
P0000184,Pulsa Mentari paket nelpon sesama,12000,Pulsa Mentari paket nelpon sesama 
P0000185,Pulsa Bolt kuota unlimited,27000,Pulsa Bolt kuota unlimited 
P0000186,Pulsa IM3 paket SMS puas,52000,Pulsa IM3 paket SMS puas 
P0000187,Pulsa IM3 ,102000,Pulsa IM3  
P0000188,Pulsa Mentari kuota 1 GB,152000,Pulsa Mentari kuota 1 GB 
P0000189,Pulsa Smart Fren kuota unlimited,202000,Pulsa Smart Fren kuota unlimited 
P0000190,Pulsa IM3 ,7000,Pulsa IM3  
P0000191,Pulsa Three kuota 12 GB malam,12000,Pulsa Three kuota 12 GB malam 
P0000192,Pulsa IM3 ,27000,Pulsa IM3  
P0000193,Pulsa Axis ,52000,Pulsa Axis  
P0000194,Pulsa Three kuota 5 GB,102000,Pulsa Three kuota 5 GB 
P0000195,Pulsa Telkomsel ,152000,Pulsa Telkomsel  
P0000196,Pulsa Axis ,202000,Pulsa Axis  
P0000197,Pulsa Smart Fren paket SMS puas,7000,Pulsa Smart Fren paket SMS puas bonus kuota 3 GB
P0000198,Pulsa Mentari ,12000,Pulsa Mentari  bonus kuota 4 GB malam
P0000199,Pulsa Mentari ,27000,Pulsa Mentari  
P0000200,Pulsa IM3 ,52000,Pulsa IM3
S00001,heuristic Perlengkapan Jahit Goldenrod ,904880,"heuristic Perlengkapan Jahit Goldenrod  Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
S00002,time-frame Perawatan Wajah Orange ,203572,"time-frame Perawatan Wajah Orange  Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
S00003,"Team-oriented Perawatan Tangan, Kaki dan Kuku Pink ",1129132,"Team-oriented Perawatan Tangan, Kaki dan Kuku Pink  Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
S00004,incremental Basket Teal ,564833,"incremental Basket Teal  Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
S00005,database Atasan Maroon ,19224,"database Atasan Maroon  Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
S00006,even-keeled Laptop Teal ,969082,"even-keeled Laptop Teal  Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
S00007,Inverse Buku Sekolah Khaki ,990152,"Inverse Buku Sekolah Khaki  Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
S00008,Stand-alone Tas Anak Orange ,935737,"Stand-alone Tas Anak Orange  Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
S00009,grid-enabled Perhiasan Anak Violet ,786514,grid-enabled Perhiasan Anak Violet  Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
S000010,hardware Diet & Vitamin Violet ,627870,"hardware Diet & Vitamin Violet  Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
S000011,bi-directional Dress Yellow ,432216,bi-directional Dress Yellow  Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
S000012,Re-engineered Outerwear Aquamarine ,341459,Re-engineered Outerwear Aquamarine  Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
S000013,zero defect Perlengkapan Jahit Pink ,920341,zero defect Perlengkapan Jahit Pink  In congue. Etiam justo. Etiam pretium iaculis justo.
S000014,next generation Setelan Muslim Mauv ,1119197,next generation Setelan Muslim Mauv  In congue. Etiam justo. Etiam pretium iaculis justo.
S000015,leverage Makanan Pink ,454920,leverage Makanan Pink  Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
S000016,Profit-focused Aksesoris Turquoise ,262052,Profit-focused Aksesoris Turquoise  Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
S000017,frame Kesehatan Lainnya Aquamarine ,207982,"frame Kesehatan Lainnya Aquamarine  Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
S000018,Horizontal Setelan Orange ,298061,Horizontal Setelan Orange  Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
S000019,Customizable Perhiasan Fashion Fuscia ,230982,"Customizable Perhiasan Fashion Fuscia  Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
S000020,interface Styling Rambut Crimson ,26028,"interface Styling Rambut Crimson  Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
S000021,Multi-tiered Makanan Khaki ,548414,"Multi-tiered Makanan Khaki  Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
S000022,systematic Celana Maroon ,547415,systematic Celana Maroon  Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
S000023,explicit Figure Orange ,756816,explicit Figure Orange  Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
S000024,project Sepatu Anak Laki-laki Goldenrod ,1169099,project Sepatu Anak Laki-laki Goldenrod  Phasellus in felis. Donec semper sapien a libero. Nam dui.
S000025,internet solution Aksesoris Anak Maroon ,381155,"internet solution Aksesoris Anak Maroon  In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
S000026,non-volatile Pakaian Dalam Pria Khaki ,751062,"non-volatile Pakaian Dalam Pria Khaki  Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
S000027,Ameliorated Telinga Aquamarine ,610638,Ameliorated Telinga Aquamarine  Fusce consequat. Nulla nisl. Nunc nisl.
S000028,paradigm Outerwear Puce ,232722,paradigm Outerwear Puce  In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
S000029,24 hour Perhiasan Anak Blue ,25523,24 hour Perhiasan Anak Blue  In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
S000030,Upgradable Kamar Tidur Puce ,222955,Upgradable Kamar Tidur Puce  Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
S000031,flexibility Tas Aquamarine ,431492,flexibility Tas Aquamarine  Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
S000032,definition Baju Muslim Anak Yellow ,110634,"definition Baju Muslim Anak Yellow  Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
S000033,Re-contextualized Sepatu Anak Laki-laki Pink ,789919,"Re-contextualized Sepatu Anak Laki-laki Pink  Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
S000034,Multi-layered Sepatu Anak Perempuan Pink ,852338,"Multi-layered Sepatu Anak Perempuan Pink  Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
S000035,Organized Kamar Tidur Teal ,280970,Organized Kamar Tidur Teal  Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
S000036,Programmable Musik Yellow ,325670,"Programmable Musik Yellow  Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
S000037,Phased Peralatan Make Up Orange ,125724,Phased Peralatan Make Up Orange  Sed ante. Vivamus tortor. Duis mattis egestas metus.
S000038,cohesive Atasan Red ,206962,"cohesive Atasan Red  Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
S000039,Profound Celana Orange ,1115423,Profound Celana Orange  Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
S000040,explicit Outerwear Blue ,541703,"explicit Outerwear Blue  Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
S000041,portal Atasan Yellow ,237902,"portal Atasan Yellow  Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
S000042,Business-focused Handphone Khaki ,331217,Business-focused Handphone Khaki  Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
S000043,Multi-channelled Makanan Teal ,1101372,"Multi-channelled Makanan Teal  Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
S000044,Seamless Jam Tangan Teal ,77446,"Seamless Jam Tangan Teal  Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
S000045,methodical Aksesoris Jilbab Khaki ,536566,"methodical Aksesoris Jilbab Khaki  Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
S000046,analyzing Baju Muslim Anak Red ,405862,"analyzing Baju Muslim Anak Red  Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
S000047,Re-contextualized Sepatu Anak Perempuan Crimson ,854240,"Re-contextualized Sepatu Anak Perempuan Crimson  Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
S000048,hub Makanan Mauv ,653597,"hub Makanan Mauv  Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
S000049,intranet Aksesoris Mobil Blue ,279451,intranet Aksesoris Mobil Blue  Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
S000050,Sharable Celana Indigo ,733456,"Sharable Celana Indigo  Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
S000051,24 hour Jam Tangan Maroon ,495121,"24 hour Jam Tangan Maroon  Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
S000052,mobile Perlengkapan Jahit Aquamarine ,101232,"mobile Perlengkapan Jahit Aquamarine  Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
S000053,Devolved Musik Green ,731592,"Devolved Musik Green  Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
S000054,content-based Perlengkapan Ibadah Khaki ,788040,"content-based Perlengkapan Ibadah Khaki  Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
S000055,budgetary management Aksesoris Rambut Maroon ,432265,budgetary management Aksesoris Rambut Maroon  Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
S000056,background Kosmetik Crimson ,951799,"background Kosmetik Crimson  Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
S000057,value-added Mandi & Perawatan Tubuh Maroon ,717403,"value-added Mandi & Perawatan Tubuh Maroon  Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
S000058,national Jam Tangan Orange ,382669,"national Jam Tangan Orange  In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
S000059,Persevering Aksesoris Green ,269264,Persevering Aksesoris Green  Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
S000060,process improvement Laptop Indigo ,834834,process improvement Laptop Indigo  Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
S000061,non-volatile Obat & Alat Kesehatan Teal ,717510,non-volatile Obat & Alat Kesehatan Teal  Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
