no_invoice,kode_produk,berat,kuantitas,harga,sub_total
V0000431,S000065,6,1,592870,9824000
V0000332,S0000183,8,5,243214,708000
V0000104,S0000134,9,10,796207,9783000
V0000434,S000087,2,3,760984,8070000
V0000274,S0000185,2,6,918522,8077000
V0000169,S000049,2,2,232876,4660000
V000077,S0000116,3,10,328460,4289000
V0000434,S0000149,7,1,114740,8070000
V0000482,S0000180,7,3,495727,7127000
V0000283,S0000194,9,8,873946,9232000
V0000292,S000064,8,8,73363,725000
V000059,S00005,10,8,16020,8715000
V0000330,S000025,7,7,317629,8639000
V0000100,S000069,9,8,37235,6292000
V0000406,S0000135,4,2,826060,1813000
V0000467,S000071,8,9,176879,338000
V0000101,S0000206,1,5,386772,3657000
V0000463,S000071,1,8,176879,2375000
V0000255,S0000211,1,10,420332,8396000
V0000251,S000026,3,3,625885,4695000
V0000213,S0000143,3,2,658589,7111000
V0000258,S0000186,6,3,516523,264000
V0000287,S0000134,9,8,796207,8238000
V0000244,S000094,3,1,360121,3351000
V000054,S000099,10,1,466014,3080000
V0000234,S0000152,1,2,58225,4636000
V0000293,S0000140,5,4,240447,7802000
V0000203,S0000151,8,5,293586,7135000
V0000282,S0000145,5,5,271759,8184000
V0000374,S000053,1,8,609660,5024000
V0000109,S0000114,6,5,882536,181000
V0000473,S0000154,9,7,202477,8651000
V0000421,S000064,2,7,73363,5856000
V000064,S000046,5,8,338218,4091000
V0000403,S0000200,3,3,438617,5479000
V000041,S000084,8,10,772416,8499000
V0000201,S000066,4,7,892876,3270000
V0000488,S0000187,7,2,57520,2535000
V0000424,S0000197,9,2,69687,6957000
V0000310,S0000127,6,10,205371,6753000
V0000220,S0000138,1,9,412255,8315000
V0000159,S00003,7,7,940943,5693000
V000037,S0000244,1,1,635633,672000
V0000436,S0000207,10,4,843223,6545000
V0000409,S0000168,6,7,934926,5899000
V0000319,S0000244,6,3,635633,1551000
V000046,S00006,6,1,807568,6498000
V0000159,S0000217,6,9,193002,5693000
V0000235,S0000179,4,3,313830,8564000
V0000148,S000038,2,10,172468,3323000
V0000485,S0000226,6,9,114249,8197000
V0000266,S0000194,10,9,873946,8036000
V000058,S000056,9,4,793166,4202000
V0000387,S00003,7,4,940943,4024000
V0000264,S0000108,1,3,704199,911000
V0000481,S000045,1,8,447138,8302000
V0000314,S0000244,10,3,635633,5433000
V0000229,S000049,1,2,232876,2707000
V0000385,S0000185,5,2,918522,7512000
V000077,S000079,1,6,797783,4289000
V000030,S0000202,3,4,381269,9254000
V0000387,S0000128,3,8,888318,4024000
V0000341,S000079,9,4,797783,6357000
V0000368,S0000146,7,8,890641,2742000
V0000390,S0000139,1,10,3485,1711000
V0000121,S0000234,8,8,124374,7597000
V0000347,S000099,3,9,466014,598000
V0000227,S000059,10,2,224387,1725000
V0000500,S000097,9,6,761494,5351000
V000076,S0000174,6,4,532517,7257000
V000015,S0000239,9,2,67372,5719000
V000040,S0000140,5,6,240447,4922000
V000044,S0000183,6,5,243214,2965000
V0000424,S0000138,2,10,412255,6957000
V0000181,S0000213,4,2,704486,2427000
V0000490,S0000144,2,3,90059,3437000
V000099,S000091,1,5,283341,1216000
V0000310,S0000130,8,1,13137,6753000
V0000479,S0000144,5,6,90059,7273000
V0000360,S000074,8,7,859771,548000
V000041,S0000119,1,10,600809,8499000
V0000195,S0000235,7,8,509335,6883000
V0000221,S0000188,2,5,920322,460000
V000072,S000050,8,3,611213,9377000
V0000147,S0000234,5,8,124374,5101000
V0000475,S000013,9,3,766951,2167000
V0000474,S0000112,1,10,506803,5268000
V0000435,S0000202,2,2,381269,7914000
V0000236,S0000108,2,9,704199,9335000
V0000430,S0000228,3,8,232606,6419000
V0000433,S0000120,10,10,726454,5042000
V0000304,S0000116,3,9,328460,2480000
V0000217,S0000175,8,9,115761,7707000
V0000468,S0000247,4,10,266902,9301000
V0000136,S0000153,9,3,657533,2711000
V000049,S0000231,1,6,149737,2617000
V000020,S000031,1,1,359577,6743000
V0000400,S0000183,3,4,243214,7403000
V0000256,S000092,10,7,294908,8990000
V0000222,S0000242,3,2,474150,5798000
V0000391,S0000248,5,4,93555,1532000
V0000430,S0000248,5,9,93555,6419000
V000078,S000087,2,4,760984,920000
V000093,S0000106,1,1,835538,550000
V000049,S000019,2,8,192485,2617000
V000069,S000078,4,2,292372,4804000
V0000432,S0000111,9,6,344071,8292000
V0000292,S0000112,2,7,506803,725000
V0000360,S0000185,5,8,918522,548000
V0000432,S000082,2,8,735757,8292000
V000013,S000034,3,1,710282,8715000
V0000280,S0000140,5,4,240447,8330000
V000099,S0000118,5,1,583138,1216000
V0000463,S0000187,2,4,57520,2375000
V0000121,S00002,3,2,169643,7597000
V000030,S0000108,7,4,704199,9254000
V0000253,S000055,4,1,360221,8655000
V0000466,S0000105,10,1,194202,8463000
V000063,S0000186,6,9,516523,4394000
V0000495,S0000118,8,4,583138,4247000
V0000391,S0000103,2,2,550870,1532000
V0000408,S0000242,6,9,474150,9543000
V0000203,S0000228,9,8,232606,7135000
V000041,S0000212,1,1,495617,8499000
V0000270,S0000177,5,1,781962,265000
V0000355,S0000230,7,4,178919,1167000
V0000173,S000084,8,2,772416,1865000
V0000230,S000055,1,7,360221,2808000
V000072,S000031,7,1,359577,9377000
V000017,S0000219,1,5,740107,8165000
V0000229,S000014,1,1,932664,2707000
V0000236,S0000150,3,7,36613,9335000
V0000322,S000056,4,5,793166,7276000
V0000449,S000047,10,8,711867,7130000
V0000100,S0000232,3,4,11804,6292000
V0000375,S000053,3,10,609660,8899000
V000036,S0000199,2,4,625636,6533000
V0000278,S0000217,7,8,193002,8801000
V0000443,S0000181,6,2,734851,1811000
V000025,S000042,9,9,276014,8930000
V0000443,S000042,4,3,276014,1811000
V000023,S0000231,4,8,149737,474000
V0000232,S0000146,2,8,890641,6565000
V0000475,S000042,6,8,276014,2167000
V00007,S0000223,7,9,912544,5267000
V0000453,S0000179,5,2,313830,2195000
V0000445,S000086,2,2,301903,5158000
V0000421,S000076,1,1,361822,5856000
V000059,S0000171,5,4,875127,8715000
V0000439,S000084,6,6,772416,2330000
V0000275,S0000229,2,3,179010,5580000
V0000435,S0000201,10,5,480700,7914000
V0000382,S000032,10,9,92195,5484000
V0000316,S0000145,7,6,271759,112000
V000020,S0000174,10,6,532517,6743000
V0000195,S0000150,2,7,36613,6883000
V000080,S0000120,4,4,726454,8790000
V0000153,S0000147,7,9,877351,1322000
V0000351,S0000133,6,9,252486,7865000
V0000406,S0000143,9,3,658589,1813000
V0000205,S000025,1,6,317629,1613000
V000017,S0000244,5,6,635633,8165000
V0000354,S000083,3,5,635220,7383000
V0000405,S0000241,4,6,782966,2629000
V0000276,S0000219,9,2,740107,9844000
V0000210,S0000242,4,5,474150,5084000
V0000340,S0000208,8,9,478724,5019000
V0000189,S0000191,2,1,273435,3873000
V0000490,S0000197,2,1,69687,3437000
V0000200,S0000143,1,10,658589,4648000
V0000430,S000061,4,4,597925,6419000
V0000356,S0000247,3,6,266902,3703000
V0000152,S000071,7,6,176879,9223000
V0000449,S0000249,5,3,908248,7130000
V0000125,S0000165,3,7,338832,7679000
V0000427,S0000165,3,2,338832,9396000
V000086,S000062,2,8,804056,8029000
V0000464,S000014,6,10,932664,8949000
V0000369,S0000152,10,2,58225,1259000
V0000481,S0000139,4,1,3485,8302000
V000076,S000048,1,2,544664,7257000
V0000248,S0000189,10,5,462431,3984000
V0000466,S0000233,4,1,457239,8463000
V0000181,S0000189,4,10,462431,2427000
V0000166,S00008,9,9,779781,2345000
V0000447,S0000199,6,6,625636,8094000
V0000232,S000025,9,3,317629,6565000
V0000159,S0000232,8,8,11804,5693000
V0000477,S000043,6,2,917810,7462000
V000067,S000076,7,9,361822,2753000
V0000293,S000098,7,3,602906,7802000
V0000138,S000056,3,10,793166,8580000
V0000412,S000044,2,3,64538,8556000
V0000404,S0000206,5,7,386772,7853000
V0000202,S0000238,10,2,749502,6930000
V0000489,S0000209,4,4,951637,5097000
V0000261,S0000113,3,3,279266,4391000
V0000447,S000067,1,5,325691,8094000
V0000449,S0000129,6,1,950593,7130000
V0000258,S000079,2,5,797783,264000
V0000346,S000021,3,5,457012,9139000
V000054,S000094,3,6,360121,3080000
V0000118,S000035,1,6,234142,6054000
V0000283,S0000185,10,9,918522,9232000
V0000393,S0000133,5,9,252486,1032000
V0000482,S0000101,5,7,601618,7127000
V0000393,S000029,9,5,21269,1032000
V0000144,S0000108,1,4,704199,1300000
V0000357,S0000150,1,4,36613,1816000
V0000106,S000021,10,8,457012,4509000
V0000394,S0000141,6,7,247401,1443000
V0000284,S000081,1,7,477553,7884000
V0000164,S000092,9,3,294908,4096000
V0000150,S000045,10,5,447138,5179000
V0000404,S0000227,3,6,947455,7853000
V0000427,S000031,5,9,359577,9396000
V0000468,S0000224,1,4,242642,9301000
V0000279,S0000191,10,2,273435,5334000
V0000239,S000080,3,6,167442,8314000
V0000259,S000048,1,3,544664,9011000
V0000282,S0000170,6,7,140729,8184000
V0000251,S000027,7,8,508865,4695000
V0000354,S000073,10,8,418512,7383000
V0000124,S000077,3,4,939216,5336000
V000045,S0000250,2,4,744079,1849000
V0000374,S00006,3,8,807568,5024000
V0000495,S0000242,3,6,474150,4247000
V0000151,S000074,1,3,859771,6519000
V0000243,S000027,5,5,508865,6147000
V0000431,S0000109,6,2,23674,9824000
V0000255,S000041,6,4,198252,8396000
V0000396,S0000246,5,1,791706,5229000
V0000384,S000010,4,6,523225,3247000
V0000361,S0000136,9,9,304282,7922000
V0000326,S00005,3,2,16020,8510000
V0000377,S0000173,3,1,277515,1971000
V0000427,S000068,10,1,583853,9396000
V00004,S00004,6,3,470694,3756000
V000032,S000010,8,1,523225,9642000
V000012,S000040,1,7,451419,6986000
V0000256,S0000184,5,3,634948,8990000
V0000397,S0000216,3,3,122362,6388000
V0000488,S0000190,8,7,942849,2535000
V000087,S0000134,3,10,796207,1323000
V00001,S0000126,4,10,760092,4074000
V0000304,S0000208,7,10,478724,2480000
V0000120,S000037,9,1,104770,6317000
V000015,S0000111,3,1,344071,5719000
V0000145,S000071,7,5,176879,6151000
V0000491,S0000238,5,8,749502,2335000
V0000469,S000060,5,8,695695,5926000
V0000365,S000027,7,5,508865,5498000
V000041,S0000162,8,7,43628,8499000
V0000285,S0000120,3,9,726454,6325000
V0000470,S0000246,8,10,791706,1481000
V0000430,S0000209,6,4,951637,6419000
V0000161,S0000112,3,7,506803,1739000
V000067,S0000204,2,1,587837,2753000
V000062,S0000241,1,10,782966,2375000
V0000309,S000021,5,7,457012,112000
V0000334,S0000142,1,5,289898,9191000
V0000461,S0000173,5,5,277515,5288000
V0000126,S000025,9,3,317629,8623000
V0000354,S000095,1,6,611382,7383000
V0000243,S00007,2,4,825127,6147000
V0000206,S0000202,4,8,381269,293000
V0000203,S000019,8,8,192485,7135000
V0000492,S0000177,5,7,781962,9215000
V0000298,S0000129,5,8,950593,3447000
V0000125,S0000139,1,2,3485,7679000
V0000494,S000017,2,8,173318,4106000
V0000455,S000019,5,3,192485,3978000
V0000382,S0000223,7,2,912544,5484000
V0000212,S0000161,4,6,704054,4192000
V0000230,S0000114,2,3,882536,2808000
V0000137,S0000245,5,1,268609,857000
V0000368,S000058,3,3,318891,2742000
V00005,S0000122,7,8,84465,6938000
V000071,S000010,6,8,523225,2718000
V0000246,S0000200,9,8,438617,9209000
V00006,S000079,8,5,797783,7286000
V0000350,S0000134,9,6,796207,7515000
V0000108,S000074,4,5,859771,9398000
V0000421,S000018,1,6,248384,5856000
V0000122,S0000196,8,5,612371,8181000
V0000136,S0000124,4,7,903018,2711000
V0000167,S000088,8,4,468264,9234000
V0000256,S0000115,2,6,870609,8990000
V000093,S000079,6,7,797783,550000
V0000236,S0000244,4,6,635633,9335000
V000054,S0000230,2,8,178919,3080000
V0000382,S0000216,4,1,122362,5484000
V0000195,S000017,3,7,173318,6883000
V000057,S0000219,9,3,740107,2329000
V000031,S0000195,9,2,28155,3696000
V0000194,S00003,3,10,940943,1404000
V0000250,S00005,1,9,16020,2446000
V0000417,S000059,10,3,224387,9287000
V000017,S000028,8,4,193935,8165000
V0000175,S0000151,2,3,293586,8391000
V0000256,S000039,1,10,929519,8990000
V0000479,S0000235,5,10,509335,7273000
V0000356,S00006,7,7,807568,3703000
V0000436,S0000212,7,3,495617,6545000
V0000171,S0000218,3,1,732825,504000
V0000487,S000010,7,2,523225,3249000
V0000348,S000066,6,1,892876,6822000
V0000213,S0000157,10,9,527739,7111000
V0000382,S00005,6,10,16020,5484000
V0000344,S0000139,9,5,3485,1909000
V000058,S0000228,5,5,232606,4202000
V0000364,S0000141,6,9,247401,4650000
V0000116,S0000111,7,5,344071,7255000
V0000205,S0000230,1,6,178919,1613000
V0000446,S0000231,1,6,149737,3200000
V000015,S0000213,5,2,704486,5719000
V0000467,S000057,3,6,597836,338000
V0000465,S00007,3,10,825127,3821000
V0000369,S0000226,1,4,114249,1259000
V0000217,S000084,1,5,772416,7707000
V0000287,S0000108,8,2,704199,8238000
V0000375,S0000165,5,2,338832,8899000
V0000447,S0000239,9,6,67372,8094000
V000015,S0000242,6,8,474150,5719000
V0000419,S000013,5,2,766951,6062000
V0000246,S0000149,6,5,114740,9209000
V0000303,S000074,6,3,859771,7442000
V0000182,S0000227,5,10,947455,4578000
V00005,S000033,7,6,658266,6938000
V0000157,S0000242,7,7,474150,9839000
V0000110,S000062,7,7,804056,4462000
V000027,S000042,3,7,276014,8238000
V0000452,S000023,5,6,630680,5520000
V000046,S000087,9,2,760984,6498000
V0000218,S0000174,8,5,532517,3479000
V0000228,S0000126,9,3,760092,2963000
V000016,S0000111,9,7,344071,782000
V0000388,S000094,8,4,360121,7800000
V0000110,S00004,5,10,470694,4462000
V0000385,S0000121,4,2,425952,7512000
V000018,S0000167,2,1,955885,4674000
V0000461,S0000122,2,7,84465,5288000
V0000343,S000096,2,10,468631,5397000
V0000254,S0000178,1,4,633218,9799000
V0000390,S0000199,10,4,625636,1711000
V0000162,S000092,8,4,294908,6402000
V0000290,S0000146,1,9,890641,4542000
V0000133,S000096,6,9,468631,5315000
V0000388,S000085,5,3,966700,7800000
V0000433,S000075,1,8,210648,5042000
V0000341,S0000124,1,4,903018,6357000
V0000159,S000025,8,9,317629,5693000
V0000437,S0000227,1,5,947455,4852000
V000081,S000066,3,8,892876,8752000
V000061,S0000199,5,2,625636,4204000
V0000403,S000047,4,4,711867,5479000
V0000251,S0000190,2,2,942849,4695000
V0000319,S0000109,1,8,23674,1551000
V0000417,S0000250,10,1,744079,9287000
