kode_produk,nama,harga,deskripsi
P000044,Pulsa Telkomsel kuota 3 GB,Rp12000,Pulsa Telkomsel kuota 3 GB 
P000045,Pulsa Mentari ,Rp27000,Pulsa Mentari  
P000046,Pulsa Three ,Rp52000,Pulsa Three  
P000047,Pulsa Axis paket nelpon puas,Rp102000,Pulsa Axis paket nelpon puas 
P000048,Pulsa Bolt ,Rp152000,Pulsa Bolt  
P000049,Pulsa Axis ,Rp202000,Pulsa Axis  
P000050,Pulsa Bolt ,Rp7000,Pulsa Bolt  
P000051,Pulsa Smart Fren kuota 12 GB malam,Rp12000,Pulsa Smart Fren kuota 12 GB malam 
P000052,Pulsa Smart Fren kuota 3 GB,Rp27000,Pulsa Smart Fren kuota 3 GB 
P000053,Pulsa Axis kuota 1 GB,Rp52000,Pulsa Axis kuota 1 GB 
P000054,Pulsa Axis paket nelpon sesama,Rp102000,Pulsa Axis paket nelpon sesama 
P000055,Pulsa Simpati kuota unlimited,Rp152000,Pulsa Simpati kuota unlimited bonus kuota 2 GB 24 jam
P000056,Pulsa Mentari ,Rp202000,Pulsa Mentari  
P000057,Pulsa Bolt ,Rp7000,Pulsa Bolt  
P000058,Pulsa Axis ,Rp12000,Pulsa Axis  
P000059,Pulsa Simpati ,Rp27000,Pulsa Simpati  
P000060,Pulsa Telkomsel ,Rp52000,Pulsa Telkomsel  
P000061,Pulsa Smart Fren ,Rp102000,Pulsa Smart Fren  
P000062,Pulsa Smart Fren kuota 1 GB malam,Rp152000,Pulsa Smart Fren kuota 1 GB malam 
P000063,Pulsa Smart Fren ,Rp202000,Pulsa Smart Fren  
P000064,Pulsa Simpati kuota 12 GB malam,Rp7000,Pulsa Simpati kuota 12 GB malam 
P000065,Pulsa IM3 ,Rp12000,Pulsa IM3  
P000066,Pulsa IM3 kuota 3 GB malam,Rp27000,Pulsa IM3 kuota 3 GB malam 
P000067,Pulsa Telkomsel ,Rp52000,Pulsa Telkomsel  
P000068,Pulsa IM3 ,Rp102000,Pulsa IM3  
P000069,Pulsa Three ,Rp152000,Pulsa Three  bonus kuota 4 GB malam
P000070,Pulsa Axis kuota 1 GB malam,Rp202000,Pulsa Axis kuota 1 GB malam 
P000071,Pulsa Three kuota 12 GB malam,Rp7000,Pulsa Three kuota 12 GB malam bonus kuota 4 GB malam
P000072,Pulsa Mentari ,Rp12000,Pulsa Mentari  bonus kuota 2 GB 24 jam
P000073,Pulsa Smart Fren kuota 12 GB malam,Rp27000,Pulsa Smart Fren kuota 12 GB malam 
P000074,Pulsa Simpati ,Rp52000,Pulsa Simpati  
P000075,Pulsa Smart Fren kuota unlimited,Rp102000,Pulsa Smart Fren kuota unlimited 
P000076,Pulsa Three ,Rp152000,Pulsa Three  
P000077,Pulsa Bolt paket nelpon puas,Rp202000,Pulsa Bolt paket nelpon puas bonus kuota 2 GB 24 jam
P000078,Pulsa Smart Fren ,Rp7000,Pulsa Smart Fren  
P000079,Pulsa Telkomsel paket SMS sesama,Rp12000,Pulsa Telkomsel paket SMS sesama 
P000080,Pulsa Axis paket SMS puas,Rp27000,Pulsa Axis paket SMS puas 
P000081,Pulsa Axis kuota 1 GB malam,Rp52000,Pulsa Axis kuota 1 GB malam 
P000082,Pulsa Mentari ,Rp102000,Pulsa Mentari  
P000083,Pulsa Mentari ,Rp152000,Pulsa Mentari  
P000084,Pulsa Axis ,Rp202000,Pulsa Axis  
P000085,Pulsa Telkomsel ,Rp7000,Pulsa Telkomsel  
P000086,Pulsa Smart Fren kuota unlimited,Rp12000,Pulsa Smart Fren kuota unlimited 
P000087,Pulsa Smart Fren ,Rp27000,Pulsa Smart Fren  
P000088,Pulsa Mentari ,Rp52000,Pulsa Mentari  
P000089,Pulsa Mentari kuota 3 GB malam,Rp102000,Pulsa Mentari kuota 3 GB malam 
P000090,Pulsa IM3 ,Rp152000,Pulsa IM3  
P000091,Pulsa Simpati paket nelpon puas,Rp202000,Pulsa Simpati paket nelpon puas 
P000092,Pulsa Smart Fren kuota 2 GB,Rp7000,Pulsa Smart Fren kuota 2 GB 
P000093,Pulsa Simpati kuota 1 GB,Rp12000,Pulsa Simpati kuota 1 GB 
P000094,Pulsa Simpati kuota 1 GB,Rp27000,Pulsa Simpati kuota 1 GB 
P000095,Pulsa Mentari ,Rp52000,Pulsa Mentari  bonus kuota 2 GB 24 jam
P000096,Pulsa Three paket SMS sesama,Rp102000,Pulsa Three paket SMS sesama 
P000097,Pulsa Simpati ,Rp152000,Pulsa Simpati  
P000098,Pulsa Three paket SMS puas,Rp202000,Pulsa Three paket SMS puas bonus kuota 3 GB
P000099,Pulsa IM3 ,Rp7000,Pulsa IM3  bonus kuota 2 GB 24 jam
P0000100,Pulsa Bolt ,Rp12000,Pulsa Bolt  
P0000101,Pulsa Smart Fren kuota unlimited,Rp27000,Pulsa Smart Fren kuota unlimited 
P0000102,Pulsa Smart Fren ,Rp52000,Pulsa Smart Fren  
P0000103,Pulsa Simpati ,Rp102000,Pulsa Simpati  
P0000104,Pulsa Telkomsel ,Rp152000,Pulsa Telkomsel  
P0000105,Pulsa IM3 ,Rp202000,Pulsa IM3  
P0000106,Pulsa Simpati ,Rp7000,Pulsa Simpati  bonus kuota 3 GB
P0000107,Pulsa Mentari ,Rp12000,Pulsa Mentari  
P0000108,Pulsa Bolt ,Rp27000,Pulsa Bolt  
P0000109,Pulsa Axis kuota 1 GB malam,Rp52000,Pulsa Axis kuota 1 GB malam 
P0000110,Pulsa Axis ,Rp102000,Pulsa Axis  
P0000111,Pulsa Mentari kuota 1 GB,Rp152000,Pulsa Mentari kuota 1 GB 
P0000112,Pulsa IM3 ,Rp202000,Pulsa IM3  bonus kuota 2 GB 24 jam
P0000113,Pulsa Telkomsel kuota 1 GB malam,Rp7000,Pulsa Telkomsel kuota 1 GB malam 
P0000114,Pulsa Telkomsel ,Rp12000,Pulsa Telkomsel  
P0000115,Pulsa Simpati kuota 5 GB,Rp27000,Pulsa Simpati kuota 5 GB 
P0000116,Pulsa Simpati ,Rp52000,Pulsa Simpati  bonus nelpon 200 menit
P0000117,Pulsa Simpati ,Rp102000,Pulsa Simpati  
P0000118,Pulsa Smart Fren ,Rp152000,Pulsa Smart Fren  bonus kuota 4 GB malam
P0000119,Pulsa Bolt ,Rp202000,Pulsa Bolt  bonus kuota 2 GB 24 jam
P0000120,Pulsa Bolt paket nelpon sesama,Rp7000,Pulsa Bolt paket nelpon sesama bonus kuota 4 GB malam
P0000121,Pulsa Simpati ,Rp12000,Pulsa Simpati  
P0000122,Pulsa Mentari kuota 1 GB,Rp27000,Pulsa Mentari kuota 1 GB bonus nelpon 200 menit
P0000123,Pulsa IM3 ,Rp52000,Pulsa IM3  
P0000124,Pulsa Telkomsel kuota 1 GB malam,Rp102000,Pulsa Telkomsel kuota 1 GB malam 
P0000125,Pulsa Mentari ,Rp152000,Pulsa Mentari  bonus nelpon 200 menit
P0000126,Pulsa Simpati ,Rp202000,Pulsa Simpati  
P0000127,Pulsa Telkomsel ,Rp7000,Pulsa Telkomsel  
P0000128,Pulsa IM3 ,Rp12000,Pulsa IM3  
P0000129,Pulsa Axis ,Rp27000,Pulsa Axis  
P0000130,Pulsa Bolt paket WiFi,Rp52000,Pulsa Bolt paket WiFi 
P0000131,Pulsa Bolt ,Rp102000,Pulsa Bolt  
P0000132,Pulsa Telkomsel ,Rp152000,Pulsa Telkomsel  
P0000133,Pulsa Axis ,Rp202000,Pulsa Axis  
P0000134,Pulsa Bolt paket nelpon sesama,Rp7000,Pulsa Bolt paket nelpon sesama bonus kuota 4 GB malam
P0000135,Pulsa Three ,Rp12000,Pulsa Three  
P0000136,Pulsa Simpati ,Rp27000,Pulsa Simpati  
P0000137,Pulsa IM3 ,Rp52000,Pulsa IM3  
P0000138,Pulsa Bolt ,Rp102000,Pulsa Bolt  bonus kuota 3 GB
P0000139,Pulsa Bolt ,Rp152000,Pulsa Bolt  
P0000140,Pulsa Simpati ,Rp202000,Pulsa Simpati  bonus nelpon 200 menit
P0000141,Pulsa Mentari ,Rp7000,Pulsa Mentari  
P0000142,Pulsa Three ,Rp12000,Pulsa Three  
P0000143,Pulsa Axis ,Rp27000,Pulsa Axis  
P0000144,Pulsa Three ,Rp52000,Pulsa Three  bonus kuota 3 GB
P0000145,Pulsa Simpati ,Rp102000,Pulsa Simpati  
P0000146,Pulsa Smart Fren ,Rp152000,Pulsa Smart Fren  
P0000147,Pulsa Simpati paket nelpon puas,Rp202000,Pulsa Simpati paket nelpon puas bonus kuota 3 GB
P0000148,Pulsa Smart Fren paket nelpon puas,Rp7000,Pulsa Smart Fren paket nelpon puas 
P0000149,Pulsa IM3 kuota 5 GB,Rp12000,Pulsa IM3 kuota 5 GB 
P0000150,Pulsa Smart Fren ,Rp27000,Pulsa Smart Fren  
P0000151,Pulsa Three kuota 12 GB malam,Rp52000,Pulsa Three kuota 12 GB malam 
P0000152,Pulsa Three kuota 5 GB,Rp102000,Pulsa Three kuota 5 GB 
P0000153,Pulsa Bolt kuota 5 GB,Rp152000,Pulsa Bolt kuota 5 GB 
P0000154,Pulsa Axis kuota 2 GB,Rp202000,Pulsa Axis kuota 2 GB bonus kuota 3 GB
P0000155,Pulsa Simpati ,Rp7000,Pulsa Simpati  
P0000156,Pulsa Mentari ,Rp12000,Pulsa Mentari  
P0000157,Pulsa Axis paket SMS puas,Rp27000,Pulsa Axis paket SMS puas 
P0000158,Pulsa Mentari paket nelpon sesama,Rp52000,Pulsa Mentari paket nelpon sesama 
P0000159,Pulsa Bolt ,Rp102000,Pulsa Bolt  
P0000160,Pulsa Mentari paket SMS sesama,Rp152000,Pulsa Mentari paket SMS sesama 
P0000161,Pulsa Bolt ,Rp202000,Pulsa Bolt  
P0000162,Pulsa Simpati ,Rp7000,Pulsa Simpati  
P0000163,Pulsa Axis ,Rp12000,Pulsa Axis  bonus kuota 3 GB
P0000164,Pulsa IM3 ,Rp27000,Pulsa IM3  
P0000165,Pulsa Axis ,Rp52000,Pulsa Axis  bonus kuota 2 GB 24 jam
P0000166,Pulsa Bolt ,Rp102000,Pulsa Bolt  
P0000167,Pulsa Smart Fren kuota 3 GB malam,Rp152000,Pulsa Smart Fren kuota 3 GB malam 
P0000168,Pulsa Bolt kuota 1 GB malam,Rp202000,Pulsa Bolt kuota 1 GB malam bonus kuota 2 GB 24 jam
P0000169,Pulsa Telkomsel kuota 5 GB,Rp7000,Pulsa Telkomsel kuota 5 GB 
P0000170,Pulsa Mentari paket SMS puas,Rp12000,Pulsa Mentari paket SMS puas 
P0000171,Pulsa IM3 kuota 12 GB malam,Rp27000,Pulsa IM3 kuota 12 GB malam 
P0000172,Pulsa Telkomsel kuota 1 GB,Rp52000,Pulsa Telkomsel kuota 1 GB 
P0000173,Pulsa Mentari ,Rp102000,Pulsa Mentari  
P0000174,Pulsa Axis ,Rp152000,Pulsa Axis  
P0000175,Pulsa Telkomsel ,Rp202000,Pulsa Telkomsel  
P0000176,Pulsa Bolt ,Rp7000,Pulsa Bolt  bonus kuota 2 GB 24 jam
P0000177,Pulsa Bolt paket SMS puas,Rp12000,Pulsa Bolt paket SMS puas 
P0000178,Pulsa Axis paket nelpon puas,Rp27000,Pulsa Axis paket nelpon puas 
P0000179,Pulsa Axis ,Rp52000,Pulsa Axis  
P0000180,Pulsa Axis ,Rp102000,Pulsa Axis  
P0000181,Pulsa Mentari kuota 2 GB,Rp152000,Pulsa Mentari kuota 2 GB 
P0000182,Pulsa Simpati ,Rp202000,Pulsa Simpati  bonus nelpon 200 menit
P0000183,Pulsa Mentari ,Rp7000,Pulsa Mentari  bonus nelpon 200 menit
P0000184,Pulsa Bolt ,Rp12000,Pulsa Bolt  
P0000185,Pulsa Simpati ,Rp27000,Pulsa Simpati  
P0000186,Pulsa Simpati ,Rp52000,Pulsa Simpati  
P0000187,Pulsa Telkomsel kuota 3 GB,Rp102000,Pulsa Telkomsel kuota 3 GB bonus nelpon 200 menit
P0000188,Pulsa IM3 ,Rp152000,Pulsa IM3  
P0000189,Pulsa Three kuota unlimited,Rp202000,Pulsa Three kuota unlimited bonus kuota 3 GB
P0000190,Pulsa Mentari ,Rp7000,Pulsa Mentari  
P0000191,Pulsa Simpati paket nelpon puas,Rp12000,Pulsa Simpati paket nelpon puas bonus kuota 2 GB 24 jam
P0000192,Pulsa IM3 kuota 1 GB malam,Rp27000,Pulsa IM3 kuota 1 GB malam bonus kuota 2 GB 24 jam
P0000193,Pulsa Three paket nelpon puas,Rp52000,Pulsa Three paket nelpon puas 
P0000194,Pulsa IM3 kuota 3 GB,Rp102000,Pulsa IM3 kuota 3 GB 
P0000195,Pulsa Three paket SMS sesama,Rp152000,Pulsa Three paket SMS sesama 
P0000196,Pulsa Telkomsel ,Rp202000,Pulsa Telkomsel  
P0000197,Pulsa Smart Fren ,Rp7000,Pulsa Smart Fren  
P0000198,Pulsa Bolt paket SMS sesama,Rp12000,Pulsa Bolt paket SMS sesama bonus kuota 2 GB 24 jam
P0000199,Pulsa Mentari ,Rp27000,Pulsa Mentari  bonus nelpon 200 menit
P0000200,Pulsa Axis kuota 3 GB,Rp52000,Pulsa Axis kuota 3 GB 
