kode_produk,kategori,nama_toko,is_asuransi,stok,is_baru,min_order,min_grosir,max_grosir,harga_grosir,foto
S000026,SK053,alliance Toys,false,122,false,10,40,91,884018,OdioJustoSollicitudin.jpeg
S000027,SK060,frame Computers,false,661,true,20,43,88,148305,PretiumIaculis.tiff
S000028,SK013,grid-enabled Music,true,692,true,14,41,54,901110,Aliquam.tiff
S000029,SK056,Up-sized Movies,false,208,true,7,46,76,913373,ElementumLigula.jpeg
S000030,SK032,frame Computers,false,663,false,6,47,89,224413,MagnaAt.jpeg
S000031,SK007,Multi-tiered Health,true,450,true,8,32,93,884079,Magna.png
S000032,SK026,Implemented Games,false,42,true,2,25,61,572875,Sem.gif
S000033,SK055,software Books,true,931,true,4,38,98,756446,Sit.png
S000034,SK068,software Books,false,922,false,11,38,100,759070,InPorttitorPede.tiff
S000035,SK029,system engine Computers,false,405,true,20,38,78,923145,FaucibusOrciLuctus.tiff
S000036,SK049,Compatible Outdoors,false,566,false,6,42,98,984990,PorttitorLacusAt.tiff
S000037,SK033,functionalities Home,true,901,false,9,49,73,498724,Volutpat.tiff
S000038,SK052,monitoring Books,true,787,true,8,30,59,980944,Sapien.png
S000039,SK049,knowledge base Games,true,558,true,6,21,84,225274,AugueVestibulum.gif
S000040,SK030,software Garden,false,577,true,16,20,59,954150,SemperPorta.gif
S000041,SK038,methodical Automotive,false,104,true,3,42,53,308642,IpsumInteger.tiff
S000042,SK077,task-force Garden,false,205,true,19,30,97,688774,Massa.tiff
S000043,SK050,software Music,false,314,true,20,37,50,151381,QuamTurpis.jpeg
S000044,SK024,instruction set Beauty,false,175,false,17,39,98,567431,Ut.gif
S000045,SK062,explicit Clothing,true,506,true,8,42,78,179069,ErosElementum.gif
S000046,SK046,global Tools,false,886,false,13,29,71,619277,VulputateElementumNullam.gif
S000047,SK034,Stand-alone Music,false,424,true,16,28,66,755395,Congue.tiff
S000048,SK038,tertiary Home,true,573,false,4,29,90,216097,ElitProin.jpeg
S000049,SK034,empowering Books,false,455,false,4,42,59,221018,Sit.png
S000050,SK041,empowering Beauty,false,649,false,9,33,82,894877,MaecenasUt.tiff
S000051,SK011,analyzing Computers,false,750,false,17,33,80,657162,Cubilia.jpeg
S000052,SK012,software Books,true,639,true,9,20,82,372515,EgetElitSodales.gif
S000053,SK076,Implemented Grocery,true,66,false,16,33,56,988733,Duis.png
S000054,SK037,standardization Automotive,false,244,true,9,43,91,342024,SapienCum.jpeg
S000055,SK015,national Outdoors,true,216,false,16,21,90,334583,QuisqueUtErat.tiff
S000056,SK006,projection Jewelery,false,93,false,13,29,66,319403,Suscipit.gif
S000057,SK067,bottom-line Computers,true,601,true,2,25,98,630641,UtDolor.gif
S000058,SK045,Decentralized Grocery,true,863,true,5,35,90,317767,EratTortor.gif
S000059,SK002,Persevering Outdoors,true,305,false,4,30,97,192982,SitAmet.tiff
S000060,SK017,mission-critical Electronics,true,101,true,3,36,55,465336,BlanditNam.jpeg
S000061,SK010,task-force Movies,false,858,true,15,45,79,132579,Turpis.tiff
S000062,SK020,Secured Baby,false,480,true,13,26,62,273085,ViverraEget.tiff
S000063,SK004,eco-centric Industrial,true,966,false,10,44,75,674312,CondimentumNeque.png
S000064,SK065,Ameliorated Movies,false,834,false,4,25,92,582215,PrimisIn.tiff
S000065,SK019,grid-enabled Music,true,624,true,6,49,61,598203,CongueDiamId.tiff
S000066,SK037,concept Industrial,true,588,true,10,20,72,799932,At.tiff
S000067,SK078,approach Tools,true,234,false,12,37,86,939669,FelisSedLacus.jpeg
S000068,SK053,solution-oriented Electronics,false,482,true,12,32,56,398594,Consequat.png
S000069,SK067,bottom-line Computers,true,451,true,4,20,92,346602,InMagnaBibendum.tiff
S000070,SK054,system engine Computers,false,589,false,18,24,66,209745,UtDolor.jpeg
S000071,SK006,flexibility Toys,false,104,false,4,28,81,873411,LiberoNam.png
S000072,SK044,holistic Shoes,true,727,true,16,35,81,548941,NuncDonec.tiff
S000073,SK049,mission-critical Baby,true,319,true,11,33,59,261010,Lacinia.gif
S000074,SK071,eco-centric Outdoors,true,437,true,15,30,96,912641,VestibulumSed.tiff
S000075,SK024,Robust Garden,false,380,true,17,38,72,469757,VestibulumSagittisSapien.tiff
S000076,SK071,functionalities Toys,true,113,true,3,29,58,670009,Pede.tiff
S000077,SK033,non-volatile Games,false,962,true,3,30,95,420350,Aenean.png
S000078,SK024,groupware Books,false,578,true,3,44,65,529922,AliquamNonMauris.jpeg
S000079,SK037,emulation Sports,true,963,true,18,40,100,692284,EgetOrciVehicula.png
S000080,SK004,Re-contextualized Automotive,true,34,true,2,34,59,681896,Eros.tiff
S000081,SK064,service-desk Tools,false,673,true,6,44,97,84286,MorbiUt.jpeg
S000082,SK044,holistic Shoes,false,534,false,5,48,94,704023,ProinRisus.jpeg
S000083,SK078,service-desk Tools,true,548,false,3,30,79,476827,CondimentumNequeSapien.tiff
S000084,SK049,empowering Beauty,false,902,true,13,30,60,689198,ViverraDiam.tiff
S000085,SK062,client-driven Garden,true,388,false,3,37,84,136380,ImperdietEt.tiff
S000086,SK031,Secured Baby,true,674,true,1,21,96,84371,LaoreetUt.gif
S000087,SK014,frame Beauty,false,450,true,19,27,99,226558,Et.jpeg
S000088,SK071,functionality Home,false,64,true,5,22,100,147818,PrimisInFaucibus.gif
S000089,SK048,Decentralized Grocery,true,19,true,8,20,76,29596,UltricesPosuereCubilia.jpeg
S000090,SK051,real-time Automotive,true,427,true,13,37,80,163657,VitaeNisi.tiff
S000091,SK010,groupware Books,true,832,true,2,24,75,776276,DictumstMorbiVestibulum.gif
S000092,SK065,uniform Shoes,false,743,true,1,36,82,417743,IntegerAc.jpeg
S000093,SK008,emulation Electronics,false,329,true,9,29,57,729715,LacusAt.gif
S000094,SK058,holistic Shoes,true,762,true,2,38,83,769134,TristiqueEstEt.tiff
S000095,SK021,conglomeration Jewelery,true,458,false,19,35,63,957598,Dui.jpeg
S000096,SK032,Cross-group Health,false,203,true,3,41,93,369672,Ante.jpeg
S000097,SK042,functionality Home,true,862,true,10,47,80,84660,TempusVelPede.png
S000098,SK018,alliance Toys,false,895,true,13,37,93,320063,Sit.png
S000099,SK005,functionality Home,false,255,true,13,40,95,306749,Vestibulum.png
S0000100,SK059,Multi-tiered Health,false,669,false,5,24,96,688260,Amet.tiff
S0000101,SK017,empowering Beauty,true,666,true,18,47,56,119214,DonecQuis.gif
S0000102,SK052,Ameliorated Movies,true,325,true,10,26,59,290172,DuisAliquamConvallis.png
S0000103,SK006,task-force Garden,false,54,true,9,21,95,438674,AOdioIn.tiff
S0000104,SK034,functionalities Home,true,345,false,17,40,53,67287,EgetMassaTempor.png
S0000105,SK063,algorithm Music,false,721,false,15,45,89,960041,Nunc.gif
S0000106,SK075,algorithm Music,true,24,true,19,44,58,766156,PosuereCubiliaCurae.tiff
S0000107,SK070,empowering Beauty,false,510,true,8,41,81,632799,SapienIaculisCongue.png
S0000108,SK035,Cross-platform Health,true,561,true,11,20,81,692372,FelisSed.jpeg
S0000109,SK046,Implemented Games,true,845,false,3,35,79,819492,DolorSit.jpeg
S0000110,SK009,radical Movies,true,312,true,12,41,87,876161,AugueVestibulum.tiff
S0000111,SK044,empowering Books,false,222,false,8,47,66,951890,Ligula.jpeg
S0000112,SK031,actuating Outdoors,false,271,false,19,50,83,334524,MetusArcu.jpeg
S0000113,SK025,Realigned Books,true,902,false,9,25,61,337646,TinciduntAnteVel.tiff
S0000114,SK042,approach Tools,false,147,false,8,42,100,520870,InHac.tiff
S0000115,SK074,explicit Clothing,true,866,false,14,20,73,822132,EratCurabitur.tiff
S0000116,SK069,system engine Computers,false,386,true,9,32,53,235595,Aliquam.jpeg
S0000117,SK058,analyzer Computers,false,336,true,17,22,88,338631,Sem.jpeg
S0000118,SK028,groupware Books,true,371,true,11,45,76,150077,SuspendisseAccumsanTortor.tiff
S0000119,SK077,empowering Books,false,615,true,2,34,89,976015,Euismod.tiff
S0000120,SK056,Re-contextualized Automotive,true,526,false,14,29,63,99033,TurpisElementumLigula.jpeg
S0000121,SK072,groupware Books,false,764,true,6,29,55,369204,FacilisiCrasNon.jpeg
S0000122,SK011,Customizable Shoes,false,396,false,15,44,63,84738,SodalesSedTincidunt.gif
S0000123,SK053,solution-oriented Baby,true,212,false,16,49,64,358982,MagnisDis.gif
S0000124,SK045,installation Computers,true,403,false,18,43,92,751784,Et.jpeg
S0000125,SK017,Robust Garden,true,535,true,18,27,84,866137,NecDuiLuctus.jpeg
S0000126,SK054,Implemented Grocery,true,191,false,2,44,75,103770,AtNibh.gif
S0000127,SK073,Future-proofed Baby,true,165,true,7,50,91,961191,LobortisConvallisTortor.png
S0000128,SK057,analyzing Computers,true,622,true,4,38,77,569686,PotentiCrasIn.tiff
S0000129,SK080,flexibility Toys,true,545,false,17,42,72,134157,NibhIn.jpeg
S0000130,SK016,empowering Books,true,610,false,6,43,74,621428,TempusVivamusIn.tiff
S0000131,SK012,Robust Garden,true,343,false,20,26,74,443611,In.gif
S0000132,SK076,Re-contextualized Automotive,true,878,false,11,20,56,344163,EtUltricesPosuere.tiff
S0000133,SK076,Quality-focused Music,false,461,true,17,46,76,297777,MorbiPorttitorLorem.tiff
S0000134,SK069,conglomeration Jewelery,false,757,true,7,32,66,372167,Nam.tiff
S0000135,SK042,Robust Home,false,389,false,20,42,82,920496,InLibero.png
S0000136,SK017,holistic Grocery,true,588,true,1,20,55,50730,Orci.tiff
S0000137,SK023,empowering Books,false,255,true,12,27,76,419072,AmetTurpisElementum.jpeg
S0000138,SK039,frame Beauty,true,955,false,18,31,53,393853,IdLuctusNec.png
S0000139,SK062,functionalities Toys,true,132,false,4,34,79,366291,EnimSit.jpeg
S0000140,SK058,Robust Garden,false,973,false,19,37,58,626548,Turpis.jpeg
S0000141,SK049,Ameliorated Movies,false,516,false,4,22,85,322959,Gravida.tiff
S0000142,SK067,asynchronous Industrial,true,764,false,17,36,76,413293,GravidaNisiAt.jpeg
S0000143,SK044,projection Jewelery,true,827,true,17,50,88,270766,Sapien.jpeg
S0000144,SK043,monitoring Books,false,90,true,14,28,68,889488,LectusInEst.jpeg
S0000145,SK022,Cross-platform Health,false,845,false,16,41,74,666612,NatoquePenatibus.gif
S0000146,SK026,Re-engineered Jewelery,false,877,false,1,35,96,917501,Nisi.gif
S0000147,SK038,Diverse Movies,true,906,true,9,21,80,853452,AugueVestibulumAnte.png
S0000148,SK024,Secured Baby,false,946,true,4,49,54,244846,CubiliaCurae.jpeg
S0000149,SK033,eco-centric Outdoors,true,407,true,18,40,88,679266,Dui.jpeg
S0000150,SK003,instruction set Beauty,true,685,true,17,43,80,154895,DapibusDolor.jpeg
S0000151,SK050,analyzing Computers,true,224,false,7,26,73,397522,NecCondimentumNeque.png
S0000152,SK061,algorithm Garden,true,717,false,17,41,62,459952,UltricesPhasellusId.tiff
S0000153,SK046,non-volatile Games,false,97,true,4,41,65,69162,Ante.gif
S0000154,SK064,client-driven Garden,false,785,true,10,30,92,279604,Tortor.png
S0000155,SK028,monitoring Books,false,258,false,13,22,61,715856,HendreritAt.gif
S0000156,SK070,holistic Grocery,false,974,false,12,36,59,588137,Quis.tiff
S0000157,SK049,standardization Automotive,true,362,false,5,28,59,654651,Mus.png
S0000158,SK041,groupware Books,false,542,true,2,48,92,463129,IdNislVenenatis.jpeg
S0000159,SK038,system engine Computers,true,682,true,11,38,77,764988,AmetErat.jpeg
S0000160,SK062,complexity Tools,true,294,true,12,49,78,235356,EratCurabitur.tiff
S0000161,SK033,complexity Tools,true,867,true,11,25,57,60223,Mauris.jpeg
S0000162,SK055,real-time Automotive,false,36,true,16,24,100,26086,PretiumNislUt.gif
S0000163,SK072,Cross-platform Health,true,528,true,11,41,59,386749,AccumsanTortor.tiff
S0000164,SK036,Cross-platform Health,false,918,true,12,35,89,188098,Consequat.tiff
S0000165,SK047,national Garden,false,668,false,8,24,53,723839,Placerat.jpeg
S0000166,SK071,explicit Clothing,true,864,true,16,25,91,14107,AmetConsectetuer.jpeg
S0000167,SK054,functionalities Home,false,304,false,8,35,55,521722,CumSociisNatoque.png
S0000168,SK061,uniform Shoes,false,804,false,3,29,82,434926,LectusInQuam.gif
S0000169,SK042,Quality-focused Music,true,280,true,16,36,90,420064,Donec.tiff
S0000170,SK016,alliance Toys,true,143,true,18,23,53,887632,NullamMolestie.gif
S0000171,SK005,customer loyalty Movies,true,141,false,3,44,90,271738,CurabiturInLibero.jpeg
S0000172,SK026,Stand-alone Outdoors,true,353,false,2,48,70,863981,VestibulumAc.gif
S0000173,SK071,asynchronous Industrial,false,709,false,11,30,78,702073,UltricesPhasellusId.jpeg
S0000174,SK032,flexibility Toys,true,42,true,16,36,57,124850,CurabiturConvallis.png
S0000175,SK063,frame Beauty,true,136,true,4,26,79,704063,ConsequatDui.gif
S0000176,SK029,bottom-line Computers,true,273,true,20,35,78,2084,SemperEst.jpeg
S0000177,SK046,non-volatile Games,false,24,true,16,48,71,921276,Et.gif
S0000178,SK026,Face to face Electronics,false,598,false,16,45,72,110984,DictumstMaecenasUt.tiff
S0000179,SK018,task-force Movies,true,496,false,2,35,73,507292,Suspendisse.gif
S0000180,SK073,software Garden,true,764,true,9,20,70,321601,PharetraMagnaAc.tiff
S0000181,SK052,Up-sized Movies,false,67,true,5,37,93,972699,DonecVitae.gif
S0000182,SK055,task-force Garden,false,17,true,4,33,87,314030,IpsumDolorSit.gif
S0000183,SK052,Re-contextualized Automotive,false,772,true,7,44,64,987298,QuamTurpis.jpeg
S0000184,SK070,methodical Automotive,false,889,false,8,29,67,486819,Pede.png
S0000185,SK004,emulation Electronics,false,902,true,18,45,75,945514,LuctusEtUltrices.jpeg
S0000186,SK024,analyzing Computers,true,825,true,19,47,65,178087,VivamusMetus.jpeg
S0000187,SK040,non-volatile Games,false,200,true,4,50,83,317813,VehiculaCondimentum.tiff
S0000188,SK048,knowledge base Games,true,493,true,19,41,78,356797,CurabiturConvallis.tiff
S0000189,SK057,analyzing Computers,false,195,true,14,50,51,207774,Donec.jpeg
S0000190,SK036,knowledge base Games,false,3,false,18,40,69,587172,Est.gif
S0000191,SK021,Up-sized Movies,true,633,true,18,41,77,910639,AnteIpsumPrimis.gif
S0000192,SK019,Implemented Games,true,964,false,20,30,97,783450,EgetTempusVel.png
S0000193,SK007,knowledge base Games,true,659,false,16,46,99,245070,TristiqueEst.jpeg
S0000194,SK044,task-force Garden,false,663,true,15,50,77,448878,Cursus.png
S0000195,SK024,software Music,true,233,true,7,23,73,398228,EnimSit.tiff
S0000196,SK068,Cross-platform Health,false,517,true,19,21,71,460112,Blandit.tiff
S0000197,SK044,service-desk Tools,true,827,false,12,49,85,968802,FelisFusce.jpeg
S0000198,SK021,Implemented Games,false,606,true,20,27,96,149065,PharetraMagna.tiff
S0000199,SK015,tertiary Home,false,870,false,3,26,65,954565,At.png
S0000200,SK070,emulation Sports,false,376,false,12,22,72,851587,RhoncusAliquetPulvinar.png
S0000201,SK079,Robust Home,false,181,false,8,46,70,882763,ViverraPede.jpeg
S0000202,SK056,Customer-focused Kids,true,402,true,18,47,85,809223,Sapien.tiff
S0000203,SK079,empowering Books,true,480,false,4,29,90,455310,PraesentBlanditNam.tiff
S0000204,SK054,Customizable Shoes,false,930,true,10,50,94,666169,Duis.tiff
S0000205,SK040,emulation Electronics,true,358,true,4,34,96,317962,PrimisIn.tiff
S0000206,SK036,radical Movies,true,79,true,20,48,100,451428,Ac.jpeg
S0000207,SK004,Customer-focused Kids,true,917,true,4,29,56,648596,Libero.gif
S0000208,SK017,Quality-focused Music,true,373,true,16,28,72,950615,TurpisElementum.png
S0000209,SK012,Re-contextualized Automotive,true,783,false,6,40,88,353108,NibhIn.tiff
S0000210,SK079,task-force Movies,false,535,false,14,32,89,133287,Imperdiet.tiff
S0000211,SK080,frame Computers,true,636,true,10,38,87,199967,In.tiff
S0000212,SK065,non-volatile Games,false,200,true,3,41,89,114239,AtVelit.png
S0000213,SK003,functionalities Home,false,302,true,1,40,90,755031,SitAmetConsectetuer.jpeg
S0000214,SK051,capacity Electronics,true,640,false,10,44,84,807698,VelNulla.jpeg
S0000215,SK076,standardization Automotive,true,547,true,7,50,97,158745,Tristique.jpeg
S0000216,SK031,Implemented Games,false,670,false,18,32,93,413224,Viverra.tiff
S0000217,SK006,asymmetric Baby,false,706,true,2,42,67,335181,JustoPellentesqueViverra.tiff
S0000218,SK067,radical Movies,true,276,false,1,34,53,351245,Eleifend.tiff
S0000219,SK004,Robust Garden,true,196,false,16,23,95,457543,Odio.tiff
S0000220,SK070,Re-contextualized Automotive,false,703,false,6,35,57,846652,Consequat.png
S0000221,SK050,solution-oriented Baby,false,882,false,12,30,89,937844,NuncNislDuis.jpeg
S0000222,SK017,groupware Books,false,62,true,5,40,87,615345,SapienNonMi.jpeg
S0000223,SK048,reciprocal Health,false,782,false,10,31,60,157071,AcEnimIn.gif
S0000224,SK033,Re-engineered Jewelery,true,883,false,19,49,54,413627,MiSitAmet.gif
S0000225,SK033,task-force Movies,false,544,true,10,50,77,414072,CommodoPlaceratPraesent.tiff
S0000226,SK063,standardization Automotive,true,903,true,2,39,70,641224,Nunc.jpeg
S0000227,SK012,Robust Garden,true,928,true,13,48,71,158087,LacusAt.tiff
S0000228,SK053,Implemented Grocery,true,898,true,7,33,71,196732,JustoIn.jpeg
S0000229,SK061,radical Movies,false,643,false,11,49,70,115579,UtDolorMorbi.png
S0000230,SK035,Graphical User Interface Music,true,289,true,19,50,75,859305,NibhFusce.tiff
S0000231,SK038,Stand-alone Music,false,860,false,14,25,53,787626,PulvinarSed.png
S0000232,SK073,Robust Garden,false,270,true,20,25,81,887783,MolestieHendreritAt.tiff
S0000233,SK077,Quality-focused Music,true,5,true,3,45,89,114611,UltricesLiberoNon.tiff
S0000234,SK057,Customer-focused Kids,false,95,false,10,34,79,659869,MaurisSit.gif
S0000235,SK035,empowering Beauty,false,745,false,3,50,65,330297,NullaEgetEros.png
S0000236,SK055,Re-contextualized Automotive,false,218,false,14,36,100,698903,LuctusTinciduntNulla.png
S0000237,SK057,service-desk Tools,true,453,false,17,27,81,120288,DuiVel.gif
S0000238,SK074,Organic Electronics,true,661,false,8,47,87,64479,Et.tiff
S0000239,SK032,solution-oriented Baby,true,264,false,4,26,70,454345,PenatibusEt.png
S0000240,SK022,project Tools,false,298,true,15,42,92,32998,MassaVolutpatConvallis.jpeg
S0000241,SK044,analyzer Computer,false,635,false,8,22,86,599707,Suscipit.jpeg
S0000242,SK060,approach Tools,true,782,true,15,46,56,340815,PosuereCubiliaCurae.gif
S0000243,SK004,radical Movies,true,754,false,9,32,52,944615,Nascetur.jpeg
S0000244,SK042,national Garden,false,374,false,8,24,81,188148,Malesuada.jpeg
S0000245,SK023,Advanced Baby,false,175,true,14,45,68,671059,SedLacusMorbi.jpeg
S0000246,SK040,software Books,false,472,true,18,20,81,980685,EratVestibulumSed.tiff
S0000247,SK009,Stand-alone Outdoors,false,622,true,4,42,53,527345,Vulputate.tiff
S0000248,SK046,Organic Electronics,false,663,false,15,28,53,917828,VestibulumEgetVulputate.jpeg
S0000249,SK060,software Garden,true,430,true,9,43,54,564002,NonInterdum.jpeg
S0000250,SK012,empowering Beauty,true,186,false,12,48,60,250075,UltricesPosuereCubilia.gif
