kode_produk,nama,harga,deskripsi
P0000106,Pulsa Axis kuota 2 GB,7000,Pulsa Axis kuota 2 GB 
P0000107,Pulsa Telkomsel paket nelpon puas,12000,Pulsa Telkomsel paket nelpon puas 
P0000108,Pulsa Simpati kuota 5 GB,27000,Pulsa Simpati kuota 5 GB 
P0000109,Pulsa Bolt paket nelpon puas,52000,Pulsa Bolt paket nelpon puas 
P0000110,Pulsa Bolt paket SMS sesama,102000,Pulsa Bolt paket SMS sesama bonus kuota 2 GB 24 jam
P0000111,Pulsa Axis ,152000,Pulsa Axis  bonus kuota 4 GB malam
P0000112,Pulsa Three paket nelpon puas,202000,Pulsa Three paket nelpon puas 
P0000113,Pulsa Smart Fren ,7000,Pulsa Smart Fren  
P0000114,Pulsa IM3 ,12000,Pulsa IM3  
P0000115,Pulsa Mentari ,27000,Pulsa Mentari  
P0000116,Pulsa IM3 ,52000,Pulsa IM3  
P0000117,Pulsa Telkomsel ,102000,Pulsa Telkomsel  
P0000118,Pulsa IM3 ,152000,Pulsa IM3  
P0000119,Pulsa Telkomsel kuota 2 GB,202000,Pulsa Telkomsel kuota 2 GB 
P0000120,Pulsa Telkomsel ,7000,Pulsa Telkomsel  
P0000121,Pulsa Bolt ,12000,Pulsa Bolt  bonus kuota 3 GB
P0000122,Pulsa Telkomsel paket WiFi,27000,Pulsa Telkomsel paket WiFi 
P0000123,Pulsa Smart Fren ,52000,Pulsa Smart Fren  
P0000124,Pulsa Telkomsel kuota 2 GB,102000,Pulsa Telkomsel kuota 2 GB bonus kuota 4 GB malam
P0000125,Pulsa Smart Fren ,152000,Pulsa Smart Fren  
P0000126,Pulsa Simpati kuota 2 GB,202000,Pulsa Simpati kuota 2 GB 
P0000127,Pulsa Bolt ,7000,Pulsa Bolt  
P0000128,Pulsa Smart Fren paket SMS puas,12000,Pulsa Smart Fren paket SMS puas 
P0000129,Pulsa IM3 paket WiFi,27000,Pulsa IM3 paket WiFi bonus kuota 4 GB malam
P0000130,Pulsa Mentari ,52000,Pulsa Mentari  bonus kuota 2 GB 24 jam
P0000131,Pulsa Three kuota 5 GB,102000,Pulsa Three kuota 5 GB 
P0000132,Pulsa IM3 ,152000,Pulsa IM3  
P0000133,Pulsa Mentari ,202000,Pulsa Mentari  bonus nelpon 200 menit
P0000134,Pulsa Telkomsel kuota 3 GB,7000,Pulsa Telkomsel kuota 3 GB 
P0000135,Pulsa Three kuota 2 GB,12000,Pulsa Three kuota 2 GB 
P0000136,Pulsa Axis ,27000,Pulsa Axis  
P0000137,Pulsa Bolt kuota 1 GB,52000,Pulsa Bolt kuota 1 GB 
P0000138,Pulsa Axis ,102000,Pulsa Axis  
P0000139,Pulsa Bolt ,152000,Pulsa Bolt  
P0000140,Pulsa Three ,202000,Pulsa Three  
P0000141,Pulsa Simpati ,7000,Pulsa Simpati  
P0000142,Pulsa Mentari ,12000,Pulsa Mentari  
P0000143,Pulsa Smart Fren ,27000,Pulsa Smart Fren  
P0000144,Pulsa IM3 ,52000,Pulsa IM3  
P0000145,Pulsa Axis ,102000,Pulsa Axis  
P0000146,Pulsa Axis ,152000,Pulsa Axis  
P0000147,Pulsa Mentari ,202000,Pulsa Mentari  
P0000148,Pulsa Bolt paket SMS puas,7000,Pulsa Bolt paket SMS puas 
P0000149,Pulsa IM3 ,12000,Pulsa IM3  
P0000150,Pulsa Axis ,27000,Pulsa Axis  
P0000151,Pulsa Telkomsel paket SMS sesama,52000,Pulsa Telkomsel paket SMS sesama 
P0000152,Pulsa Telkomsel kuota 5 GB,102000,Pulsa Telkomsel kuota 5 GB 
P0000153,Pulsa Axis ,152000,Pulsa Axis  
P0000154,Pulsa Mentari paket WiFi,202000,Pulsa Mentari paket WiFi bonus nelpon 200 menit
P0000155,Pulsa Three ,7000,Pulsa Three  
P0000156,Pulsa Simpati ,12000,Pulsa Simpati  bonus kuota 4 GB malam
P0000157,Pulsa Simpati ,27000,Pulsa Simpati  
P0000158,Pulsa Smart Fren ,52000,Pulsa Smart Fren  
P0000159,Pulsa IM3 ,102000,Pulsa IM3  bonus kuota 3 GB
P0000160,Pulsa Simpati ,152000,Pulsa Simpati  
P0000161,Pulsa Three paket nelpon sesama,202000,Pulsa Three paket nelpon sesama 
P0000162,Pulsa Telkomsel ,7000,Pulsa Telkomsel  bonus kuota 4 GB malam
P0000163,Pulsa Axis ,12000,Pulsa Axis  
P0000164,Pulsa Bolt paket nelpon puas,27000,Pulsa Bolt paket nelpon puas bonus kuota 3 GB
P0000165,Pulsa Axis kuota 3 GB,52000,Pulsa Axis kuota 3 GB bonus kuota 2 GB 24 jam
P0000166,Pulsa Bolt paket SMS sesama,102000,Pulsa Bolt paket SMS sesama bonus kuota 4 GB malam
P0000167,Pulsa Smart Fren ,152000,Pulsa Smart Fren  
P0000168,Pulsa Axis paket SMS sesama,202000,Pulsa Axis paket SMS sesama bonus kuota 2 GB 24 jam
P0000169,Pulsa Telkomsel kuota 1 GB malam,7000,Pulsa Telkomsel kuota 1 GB malam 
P0000170,Pulsa Mentari ,12000,Pulsa Mentari  
P0000171,Pulsa Simpati kuota 3 GB,27000,Pulsa Simpati kuota 3 GB 
P0000172,Pulsa Axis ,52000,Pulsa Axis  
P0000173,Pulsa Smart Fren ,102000,Pulsa Smart Fren  bonus kuota 3 GB
P0000174,Pulsa Telkomsel ,152000,Pulsa Telkomsel  
P0000175,Pulsa Mentari paket nelpon sesama,202000,Pulsa Mentari paket nelpon sesama 
P0000176,Pulsa Simpati ,7000,Pulsa Simpati  
P0000177,Pulsa Telkomsel paket nelpon sesama,12000,Pulsa Telkomsel paket nelpon sesama 
P0000178,Pulsa Bolt ,27000,Pulsa Bolt  
P0000179,Pulsa Telkomsel ,52000,Pulsa Telkomsel  
P0000180,Pulsa Telkomsel ,102000,Pulsa Telkomsel  
P0000181,Pulsa Telkomsel paket SMS puas,152000,Pulsa Telkomsel paket SMS puas bonus kuota 3 GB
P0000182,Pulsa Telkomsel kuota 12 GB malam,202000,Pulsa Telkomsel kuota 12 GB malam 
P0000183,Pulsa Simpati paket nelpon puas,7000,Pulsa Simpati paket nelpon puas 
P0000184,Pulsa Mentari paket nelpon sesama,12000,Pulsa Mentari paket nelpon sesama 
P0000185,Pulsa Bolt kuota unlimited,27000,Pulsa Bolt kuota unlimited 
P0000186,Pulsa IM3 paket SMS puas,52000,Pulsa IM3 paket SMS puas 
P0000187,Pulsa IM3 ,102000,Pulsa IM3  
P0000188,Pulsa Mentari kuota 1 GB,152000,Pulsa Mentari kuota 1 GB 
P0000189,Pulsa Smart Fren kuota unlimited,202000,Pulsa Smart Fren kuota unlimited 
P0000190,Pulsa IM3 ,7000,Pulsa IM3  
P0000191,Pulsa Three kuota 12 GB malam,12000,Pulsa Three kuota 12 GB malam 
P0000192,Pulsa IM3 ,27000,Pulsa IM3  
P0000193,Pulsa Axis ,52000,Pulsa Axis  
P0000194,Pulsa Three kuota 5 GB,102000,Pulsa Three kuota 5 GB 
P0000195,Pulsa Telkomsel ,152000,Pulsa Telkomsel  
P0000196,Pulsa Axis ,202000,Pulsa Axis  
P0000197,Pulsa Smart Fren paket SMS puas,7000,Pulsa Smart Fren paket SMS puas bonus kuota 3 GB
P0000198,Pulsa Mentari ,12000,Pulsa Mentari  bonus kuota 4 GB malam
P0000199,Pulsa Mentari ,27000,Pulsa Mentari  
P0000200,Pulsa IM3 ,52000,Pulsa IM3  
